year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
2005,252.3,104.7,114.9,135.5,136.7,115.4, 44.0,146.5,159.6,219.9,153.8,110.6, 586.4, 387.2, 305.8, 533.3,1694.0
2006,139.2, 94.3,160.3,115.1,138.6, 91.6, 82.3,105.8,200.3,184.5,314.6,306.9, 344.1, 414.1, 279.7, 699.4,1933.5
2007,262.8,141.6,154.3, 63.7,122.8,132.5,121.6,148.1,110.9,124.0,153.9,168.2, 711.3, 340.8, 402.2, 388.8,1704.4
2008,310.0,175.0,196.7, 86.1, 29.9,123.8,141.9,193.4,135.8,295.7,142.3,159.3, 653.3, 312.7, 459.1, 573.8,1989.9
2009,213.6, 62.6,154.9,116.1,145.1, 69.8,175.1,296.1,123.6,174.2,339.9,113.1, 435.5, 416.1, 540.9, 637.7,1984.0
2010, 88.7, 75.1,115.1,103.0, 41.2, 39.3,189.7,106.1,169.9,182.6,198.3, 58.2, 276.9, 259.3, 335.1, 550.8,1367.2
2011,162.1,220.8,111.9, 88.4,227.7,116.6, 97.4,160.0,238.2,293.9,233.8,329.5, 441.1, 428.0, 374.0, 765.8,2280.2
2012,213.9,137.7, 72.1, 87.1, 82.0,177.0,157.6,175.0,177.3,178.0,208.7,241.9, 681.0, 241.2, 509.5, 564.0,1908.2
2013,189.5, 90.2, 52.0,126.9,136.4, 75.0,100.4, 98.0,130.0,242.6,129.9,341.2, 521.6, 315.2, 273.5, 502.5,1712.0
2014,276.1,289.6,167.4, 99.0,131.2, 57.7,107.5,159.1, 28.3,277.1,161.4,273.0, 906.9, 397.7, 324.4, 466.8,2027.6
2015,291.1,154.5,206.6, 87.9,176.7,106.9,177.9,137.0, 47.5,110.2,328.8,381.6, 718.6, 471.2, 421.7, 486.4,2206.5
2016,271.5,208.0,100.2,111.3, 87.1, 81.5,156.2,140.8,184.9, 59.9,134.4,149.8, 861.2, 298.6, 378.4, 379.2,1685.6
2017,121.8,187.6,161.6, 48.9, 68.8,173.1,143.9,178.9,173.4,221.4,160.6,171.1, 459.3, 279.2, 495.9, 555.3,1811.0
2018,242.6,122.0,103.8,109.6, 56.8, 89.0, 91.2,143.3,179.6,185.5,218.1,170.2, 535.8, 270.3, 323.4, 583.2,1711.8
2019,103.7,125.4,218.1, 51.5, 88.6,103.5,148.4,245.3,175.1,174.9, 88.7,243.2, 399.3, 358.2, 497.1, 438.7,1766.3
2020,228.4,330.3,134.9, 30.9, 71.1,150.0,183.6,167.5,159.4,254.4,220.7,210.5, 801.9, 236.9, 501.2, 634.5,2141.8
2021,154.7,181.5,154.3, 22.6,101.2, 52.9, 36.8, 96.2,123.2,272.9,125.1,166.9, 546.6, 278.2, 185.9, 521.1,1488.3
